300 5 2
3.000000 0.000500
2965 4276 
292 4585 
3098 4786 
3520 3077 
2321 3295 
1062 5103 
1304 4794 
226 3775 
2302 2789 
2525 4379 
3338 4664 
3991 5926 
2518 3360 
477 2010 
2349 3549 
239 3684 
1441 2660 
1959 466 
2769 4426 
2770 3252 
1026 1532 
4285 3509 
912 2665 
3068 5695 
3442 3783 
3303 1106 
437 409 
2335 823 
371 2029 
4421 3379 
40 4565 
840 1372 
2988 189 
3816 1084 
1084 2179 
4740 1608 
4310 3519 
3324 865 
1351 3229 
2329 2466 
4791 5906 
1562 317 
1827 2988 
2075 2468 
4505 2327 
3802 4535 
57 5294 
4910 4945 
4151 4544 
2695 926 
4214 5609 
1238 1262 
4274 35 
2649 169 
2673 3929 
408 5519 
3416 4561 
506 2563 
3664 3774 
247 535 
2969 1706 
1616 3821 
1497 1805 
4955 3311 
4155 4067 
3689 2343 
2899 3570 
4708 5217 
1208 2530 
1701 3668 
150 404 
4151 2708 
1875 5851 
2701 4898 
2218 2686 
2610 2139 
4795 5746 
2107 2219 
3558 3997 
4746 4727 
2527 2152 
3897 4153 
2263 1503 
1501 155 
960 5583 
1246 1321 
3107 5393 
3559 1780 
3947 1683 
510 1311 
2014 2939 
255 5559 
152 4652 
2003 2649 
2229 1278 
325 4682 
4085 5275 
2988 5950 
2815 4618 
2625 3195 
1584 2311 
2681 2601 
2074 928 
3566 3805 
315 1887 
1088 3779 
4993 3808 
3031 5895 
1501 3530 
1661 5078 
4588 778 
2379 5036 
100 3452 
2835 3658 
3749 1948 
4487 3129 
1050 3753 
2829 1235 
136 939 
3038 4092 
4365 984 
576 35 
3266 3622 
2318 5636 
1446 888 
2390 4343 
4848 5331 
3608 4517 
4029 3666 
1755 1710 
4710 1441 
925 700 
138 1397 
1690 704 
4043 5331 
3512 3516 
1659 5050 
589 3491 
1588 1865 
2498 2237 
778 283 
2961 1217 
2463 816 
4466 2366 
827 322 
2085 2479 
4182 1299 
4103 3756 
658 3470 
3477 3386 
3326 83 
923 3084 
4970 2836 
2716 4634 
2216 2116 
2397 5809 
3994 5835 
339 1953 
4733 3588 
1852 3517 
3832 5193 
2816 2472 
840 5975 
149 5986 
526 1516 
3995 243 
4508 2686 
2729 1975 
3140 730 
3850 1052 
4551 5864 
68 3600 
4411 4715 
3905 4763 
4096 699 
2519 4597 
3586 690 
3757 1656 
1155 5681 
3721 2522 
1426 3427 
4416 4038 
4353 2890 
3227 2463 
1492 5006 
1750 3265 
1139 1204 
3490 4567 
1109 3245 
3596 2191 
966 4023 
2035 664 
4255 270 
2872 2205 
2504 2345 
4887 3975 
2124 5846 
2670 2713 
4263 440 
2872 4741 
788 1075 
4603 2729 
4238 1284 
1371 2137 
3303 1482 
4445 857 
3888 1945 
2715 2602 
3990 639 
2455 4965 
4985 1918 
413 1140 
4460 3366 
1402 4470 
2872 1412 
2292 80 
1702 3629 
4472 3120 
2803 932 
4093 1826 
4702 414 
4269 303 
2832 1002 
4548 1372 
1472 4512 
3305 2979 
2159 1690 
1381 2163 
4598 1911 
4243 5661 
950 700 
33 4165 
2332 3792 
1398 70 
4240 4927 
143 5492 
2930 1377 
356 4498 
297 5500 
1485 2374 
4712 4591 
2119 4410 
1315 1856 
2392 2164 
176 4034 
2285 5446 
2072 4393 
1574 4307 
715 3309 
2344 5292 
2355 3072 
1712 4404 
792 2993 
4939 3627 
4768 1185 
1742 502 
117 3738 
261 2884 
1254 2313 
2324 1746 
3181 5257 
352 354 
820 3215 
2462 2692 
2695 1421 
3200 1173 
1186 3625 
3141 5741 
4776 892 
1952 1523 
2319 225 
1847 3095 
1448 2180 
2751 386 
3645 3411 
841 1668 
2491 151 
4884 1618 
915 5037 
1556 2274 
4958 3122 
379 1779 
3561 1409 
2015 5749 
4405 1744 
4609 5592 
1554 125 
1966 1176 
2458 2635 
3500 5152 
2599 2048 
744 5541 
4417 1226 
1206 3919 
4693 2297 
1748 3550 
2499 2025 
4696 4549 
4530 3677 
2212 977 
